player_name,team,position,appearances,starts,substitute_appearances,goals,assists,minutes_played,passes,pass_accuracy,key_passes,shots,shots_on_target,tackles,interceptions,dribbles,duels_won,fouls_won,yellow_cards,red_cards
Kevin Pina,Cape Verde,Midfielder,3,3,0,1,0,,,,,,,,,,,,0,0
Laros Duarte,Cape Verde,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Logan Costa,Cape Verde,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Marcio Rosa,Cape Verde,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Nuno Da Costa,Cape Verde,Forward,3,0,3,0,0,,,,,,,,,,,,0,0
Pico,Cape Verde,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Ryan Mendes,Cape Verde,Forward,3,3,0,0,0,,,,,,,,,,,,0,0
Sidney Cabral,Cape Verde,Defender,2,2,0,0,0,,,,,,,,,,,,2,0
Steven Moreira,Cape Verde,Defender,3,2,1,0,0,,,,,,,,,,,,0,0
Stopira,Cape Verde,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Telmo Arcanjo,Cape Verde,Midfielder,2,1,1,0,0,,,,,,,,,,,,0,0
Wagner Pina,Cape Verde,Defender,1,1,2,0,0,,,,,,,,,,,,1,0
Willy Semedo,Cape Verde,Forward,2,1,2,0,0,,,,,,,,,,,,0,0
Yannick Semedo,Cape Verde,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Alvaro Montero,Colombia,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Andres Gomez,Colombia,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Camilo Vargas,Colombia,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Cucho Hernandez,Colombia,Forward,1,0,3,0,1,,,,,,,,,,,,0,0
Daniel Munoz,Colombia,Defender,3,2,1,2,0,,,,,,,,,,,,0,0
David Ospina,Colombia,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Davinson Sanchez,Colombia,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Deiver Machado,Colombia,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Gustavo Puerta,Colombia,Midfielder,3,3,0,0,1,,,,,,,,,,,,1,0
James Rodriguez,Colombia,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Jaminton Leandro Campaz,Colombia,Midfielder,1,0,3,1,0,,,,,,,,,,,,0,0
Jefferson Lerma,Colombia,Midfielder,3,3,0,0,0,,,,,,,,,,,,1,0
Jhon Arias,Colombia,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Jhon Cordoba,Colombia,Forward,2,1,2,0,0,,,,,,,,,,,,0,0
Jhon Lucumi,Colombia,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Johan Mojica,Colombia,Defender,2,2,1,0,0,,,,,,,,,,,,1,0
Jorge Carrascal,Colombia,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Juan Portilla,Colombia,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Juan Quintero,Colombia,Midfielder,2,0,3,0,1,,,,,,,,,,,,0,0
Kevin Castano,Colombia,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Luis Diaz,Colombia,Forward,3,3,0,1,1,,,,,,,,,,,,0,0
Luis Suarez,Colombia,Forward,3,2,1,0,0,,,,,,,,,,,,0,0
Richard Rios,Colombia,Midfielder,3,0,3,0,0,,,,,,,,,,,,0,0
Santiago Arias,Colombia,Midfielder,1,1,2,0,0,,,,,,,,,,,,0,0
Willer Ditta,Colombia,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Yerry Mina,Colombia,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Andrej Kramaric,Croatia,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Ante Budimir,Croatia,Forward,2,1,2,1,0,,,,,,,,,,,,0,0
Dominik Kotarski,Croatia,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Dominik Livakovic,Croatia,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Duje Caleta-Car,Croatia,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Igor Matanovic,Croatia,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Ivan Perisic,Croatia,Midfielder,3,3,0,0,1,,,,,,,,,,,,1,0
Ivor Pandur,Croatia,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Joako Gvardiol,Croatia,Defender,3,2,1,0,0,,,,,,,,,,,,0,0
Josip Stanisic,Croatia,Defender,3,3,0,0,1,,,,,,,,,,,,0,0
Josip Sutalo,Croatia,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Kristijan Jakic,Croatia,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Luka Modric,Croatia,Midfielder,3,3,0,0,1,,,,,,,,,,,,0,0
Luka Sucic,Croatia,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Luka Vuskovic,Croatia,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Marco Pasalic,Croatia,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Marin Pongracic,Croatia,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Mario Pasalic,Croatia,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Martin Baturina,Croatia,Midfielder,3,3,0,1,0,,,,,,,,,,,,0,0
Martin Erlic,Croatia,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Mateo Kovacic,Croatia,Midfielder,3,2,1,0,1,,,,,,,,,,,,0,0
Nikola Moro,Croatia,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Nikola Vlasic,Croatia,Midfielder,2,1,2,1,0,,,,,,,,,,,,0,0
Petar Musa,Croatia,Forward,2,2,1,1,0,,,,,,,,,,,,0,0
Petar Sucic,Croatia,Midfielder,3,2,1,1,1,,,,,,,,,,,,1,0
Toni Fruk,Croatia,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Ar'Jany Martha,Curaçao,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Armando Obispo,Curaçao,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Brandley Kuwas,Curaçao,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Deveron Fonville,Curaçao,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Eloy Room,Curaçao,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Gervane Kastaneer,Curaçao,Forward,3,0,3,0,0,,,,,,,,,,,,2,0
Godfried Roemeratoe,Curaçao,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Jearl Margaritha,Curaçao,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Jeremy Antonisse,Curaçao,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Joshua Brenet,Curaçao,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Juninho Bacuna,Curaçao,Forward,3,3,0,0,0,,,,,,,,,,,,2,0
Jurgen Locadia,Curaçao,Forward,3,3,0,0,0,,,,,,,,,,,,0,0
Jurien Gaari,Curaçao,Defender,2,2,1,0,0,,,,,,,,,,,,1,0
Kenji Gorre,Curaçao,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Kevin Felida,Curaçao,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
