date,home_team,away_team,neutral,tournament,home_win_rate,home_draw_rate,home_avg_goals_scored,home_avg_goals_conceded,away_win_rate,away_draw_rate,away_avg_goals_scored,away_avg_goals_conceded,elo_diff,home_elo,away_elo,result,h2h_home_win_rate,h2h_avg_goal_diff
1934-03-11,Mexico,Cuba,False,FIFA World Cup qualification,0.25,0.0,1.75,3.75,0.5,0.25,3.0,1.25,-2,1498,1500,home_win,0.5,0.0
1934-03-11,Spain,Portugal,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,211,1910,1699,home_win,0.5,0.0
1934-03-16,Egypt,Israel,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,199,1699,1500,home_win,0.5,0.0
1934-03-18,Mexico,Cuba,False,FIFA World Cup qualification,0.4,0.0,2.4,3.0,0.4,0.2,2.4,2.0,-2,1498,1500,home_win,0.5,0.0
1934-03-18,Portugal,Spain,False,FIFA World Cup qualification,0.0,0.0,0.0,9.0,1.0,0.0,9.0,0.0,-211,1699,1910,away_win,0.5,0.0
1934-03-25,Bulgaria,Hungary,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,0,1500,1500,away_win,0.5,0.0
1934-03-25,Italy,Greece,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,0,1500,1500,home_win,0.5,0.0
1934-04-06,Israel,Egypt,False,FIFA World Cup qualification,0.0,0.0,1.0,7.0,1.0,0.0,7.0,1.0,-199,1500,1699,away_win,0.5,0.0
1934-04-08,Netherlands,Republic of Ireland,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.0,1.0,4.0,4.0,158,1658,1500,home_win,0.5,0.0
1934-04-15,Luxembourg,France,False,FIFA World Cup qualification,0.0,0.0,1.0,9.0,0.3333333333333333,0.0,1.3333333333333333,1.0,-99,1500,1599,away_win,0.5,0.0
1934-04-25,Austria,Bulgaria,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.0,0.0,1.0,4.0,500,2000,1500,home_win,0.5,0.0
1934-04-29,Hungary,Bulgaria,False,FIFA World Cup qualification,1.0,0.0,4.0,1.0,0.0,0.0,1.0,5.0,0,1500,1500,home_win,0.5,0.0
1934-04-29,Belgium,Netherlands,False,FIFA World Cup qualification,0.0,0.3333333333333333,1.3333333333333333,2.6666666666666665,1.0,0.0,5.0,2.0,-70,1588,1658,away_win,0.5,0.0
1934-04-29,Romania,Yugoslavia,False,FIFA World Cup qualification,0.3333333333333333,0.3333333333333333,1.6666666666666667,2.333333333333333,0.5,0.25,2.25,2.25,0,1500,1500,home_win,0.5,0.0
1934-05-24,Mexico,USA,True,FIFA World Cup qualification,0.5,0.0,2.6666666666666665,2.6666666666666665,0.6666666666666666,0.0,2.333333333333333,2.0,-263,1498,1761,away_win,0.5,0.0
1934-05-27,Netherlands,Switzerland,True,FIFA World Cup,1.0,0.0,4.5,2.0,0.0,1.0,2.0,2.0,51,1658,1607,away_win,0.5,0.0
1934-05-27,Italy,USA,False,FIFA World Cup,1.0,0.0,4.0,0.0,0.75,0.0,2.75,2.0,-261,1500,1761,home_win,0.5,0.0
1934-05-27,Egypt,Hungary,True,FIFA World Cup,1.0,0.0,5.5,1.0,1.0,0.0,4.0,1.0,199,1699,1500,away_win,0.5,0.0
1934-05-27,Czechoslovakia,Romania,True,FIFA World Cup,1.0,0.0,2.0,1.0,0.5,0.25,1.75,2.0,0,1500,1500,home_win,0.5,0.0
1934-05-27,Belgium,Germany,True,FIFA World Cup,0.0,0.25,1.5,3.0,1.0,0.0,9.0,1.0,-191,1588,1779,away_win,0.5,0.0
1934-05-27,Brazil,Spain,True,FIFA World Cup,0.4,0.1,2.1,1.6,1.0,0.0,5.5,0.5,24,1934,1910,away_win,0.5,0.0
1934-05-27,Austria,France,True,FIFA World Cup,1.0,0.0,6.0,1.0,0.5,0.0,2.5,1.0,401,2000,1599,home_win,0.5,0.0
1934-05-27,Argentina,Sweden,True,FIFA World Cup,0.9,0.0,3.5,1.3,1.0,0.0,4.0,1.0,340,2062,1722,away_win,0.5,0.0
1934-05-31,Austria,Hungary,True,FIFA World Cup,1.0,0.0,4.5,1.5,1.0,0.0,4.0,1.3333333333333333,500,2000,1500,home_win,0.5,0.0
1934-05-31,Czechoslovakia,Switzerland,True,FIFA World Cup,1.0,0.0,2.0,1.0,0.3333333333333333,0.6666666666666666,2.333333333333333,2.0,-107,1500,1607,home_win,0.5,0.0
