player_name,team,position,age,nationality,club,photo_url
Jules Kounde,France,Defender,,,,
Kouadio Kone,France,Midfielder,,,,
Kylian Mbappe,France,Forward,,,,
Lucas Digne,France,Defender,,,,
Lucas Hernandez,France,Defender,,,,
Maghnes Akilouche,France,Midfielder,,,,
Malo Gusto,France,Defender,,,,
Marcus Thuram,France,Forward,,,,
Mathis Rayan Cherki,France,Midfielder,,,,
Maxence Lacroix,France,Defender,,,,
Michael Olise,France,Midfielder,,,,
Mike Maignan,France,Goalkeeper,,,,
N'Golo Kante,France,Midfielder,,,,
Ousmane Dembele,France,Midfielder,,,,
Robin Risser,France,Goalkeeper,,,,
Theo Hernandez,France,Defender,,,,
Warren Zaire-Emery,France,Midfielder,,,,
William Saliba,France,Defender,,,,
Aleksandar Pavlovic,Germany,Midfielder,,,,
Alexander Nubel,Germany,Goalkeeper,,,,
Angelo Stiller,Germany,Midfielder,,,,
Antonio Rudiger,Germany,Defender,,,,
David Raum,Germany,Midfielder,,,,
Deniz Undav,Germany,Forward,,,,
Felix Nmecha,Germany,Midfielder,,,,
Florian Wirtz,Germany,Midfielder,,,,
Forzan Ouedraogo,Germany,Midfielder,,,,
Jamal Musiala,Germany,Midfielder,,,,
Jamie Leweling,Germany,Forward,,,,
Jonathan Tah,Germany,Defender,,,,
Joshua Kimmich,Germany,Midfielder,,,,
Kai Havertz,Germany,Midfielder,,,,
Leon Goretzka,Germany,Midfielder,,,,
Leroy Sane,Germany,Midfielder,,,,
Malick Thiaw,Germany,Defender,,,,
Manuel Neuer,Germany,Goalkeeper,,,,
Maximilian Beier,Germany,Forward,,,,
Nadiem Amiri,Germany,Midfielder,,,,
Nathaniel Brown,Germany,Defender,,,,
Nick Woltemade,Germany,Forward,,,,
Nico Schlotterbeck,Germany,Defender,,,,
Oliver Baumann,Germany,Goalkeeper,,,,
Pascal Gross,Germany,Midfielder,,,,
Waldemar Anton,Germany,Defender,,,,
Abdul Fatawu,Ghana,Midfielder,,,,
Abdul Mumin,Ghana,Defender,,,,
Abdul-Rahman Baba,Ghana,Defender,,,,
Alidu Seidu,Ghana,Defender,,,,
Antoine Semenyo,Ghana,Forward,,,,
Augustine Boakye,Ghana,Midfielder,,,,
Benjamin Asare,Ghana,Goalkeeper,,,,
Brandon Thomas-Asante,Ghana,Forward,,,,
Caleb Yirenkyi,Ghana,Midfielder,,,,
Christophe Bonsu Baah,Ghana,Forward,,,,
Derrick Luckassen,Ghana,Defender,,,,
Elisha Owusu,Ghana,Midfielder,,,,
Ernest Nuamah,Ghana,Forward,,,,
Gideon Mensah,Ghana,Defender,,,,
Inaki Williams,Ghana,Forward,,,,
Jerome Opoku,Ghana,Defender,,,,
Jonas Adjei Adjetey,Ghana,Defender,,,,
Jordan Ayew,Ghana,Forward,,,,
Joseph Anang,Ghana,Goalkeeper,,,,
Kamaldeen Sulemana,Ghana,Midfielder,,,,
Kojo Peprah Oppong,Ghana,Defender,,,,
Kwasi Sibo,Ghana,Midfielder,,,,
Lawrence Ati-Zigi,Ghana,Goalkeeper,,,,
Marvin Senaya,Ghana,Defender,,,,
Prince Kwabena Adu,Ghana,Forward,,,,
Thomas Partey,Ghana,Midfielder,,,,
Alexandre Pierre,Haiti,Goalkeeper,,,,
Carl Sainte,Haiti,Midfielder,,,,
Carlens Arcus,Haiti,Defender,,,,
Derrick Etienne,Haiti,Midfielder,,,,
Dominique Simon,Haiti,Midfielder,,,,
Duckens Nazon,Haiti,Forward,,,,
Duke Lacroix,Haiti,Defender,,,,
Frantzdy Pierrot,Haiti,Forward,,,,
Garven Matusala,Haiti,Defender,,,,
Hannes Delcroix,Haiti,Defender,,,,
Jean Jacques Danley,Haiti,Midfielder,,,,
Jean Ricner Bellegarde,Haiti,Midfielder,,,,
Jean-Kevin Duverne,Haiti,Defender,,,,
Johny Placide,Haiti,Goalkeeper,,,,
Josue Casimir,Haiti,Forward,,,,
Josue Duverger,Haiti,Goalkeeper,,,,
Keeto Thermoncy,Haiti,Defender,,,,
Lenny Joseph,Haiti,Forward,,,,
Lucicius Deedson,Haiti,Forward,,,,
